id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23272206,Serviced apartment in Montréal · ★4.80 · 3 bedrooms · 4 beds · 1 bath,78642540,Madina,,LaSalle,45.44297,-73.61277,Entire home/apt,80,31,6,2018-08-13,0.09,1,123,0,
23290297,Home in Montréal · 1 bedroom · 1 bed · 2 shared baths,17047853,Daniela,,Villeray-Saint-Michel-Parc-Extension,45.52803,-73.62895,Private room,21,32,1,2019-12-10,0.02,10,0,0,
23291155,Rental unit in Montréal · ★4.94 · 4 bedrooms · 8 beds · 1.5 baths,7250257,Stewie,,Le Plateau-Mont-Royal,45.51785,-73.58382,Entire home/apt,1960,32,34,2022-08-16,0.51,18,257,0,
23291418,Rental unit in Montréal · ★4.46 · 1 bedroom · 1 bed · 1 shared bath,94022686,Ian,,Le Plateau-Mont-Royal,45.52359,-73.58485,Private room,40,31,28,2019-12-30,0.44,2,0,0,
23306619,Home in Montréal · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,7223348,Jason,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49266,-73.6284,Private room,27,32,23,2022-12-24,0.42,11,215,1,
23320314,Rental unit in Montréal · ★4.98 · 4 bedrooms · 5 beds · 4 baths,57761284,Bernhard And Frederique,,Le Plateau-Mont-Royal,45.52078,-73.57358,Entire home/apt,629,1,149,2023-08-27,2.37,6,289,49,"296525, expires: 2024-08-31"
23323154,Rental unit in Montréal · ★4.50 · 2 bedrooms · 2 beds · 1 bath,18144699,Yves,,Le Plateau-Mont-Royal,45.5308,-73.57237,Entire home/apt,100,14,4,2022-08-13,0.06,1,0,0,"296659, expires: 2024-01-01T01:00:00Z"
23325747,Rental unit in Montréal · ★4.63 · 3 bedrooms · 5 beds · 1.5 baths,58076590,Berish,,Le Plateau-Mont-Royal,45.5244,-73.60689,Entire home/apt,291,1,137,2023-07-31,2.04,22,358,18,"296457, expires: 2024-07-31T19:21:40Z"
23340943,Loft in Montréal · ★4.94 · 1 bedroom · 2 beds · 1 bath,173866552,Marie,,Ville-Marie,45.52802,-73.56373,Entire home/apt,96,31,148,2023-08-28,2.27,1,270,34,
23358649,Loft in Montréal · ★4.87 · 1 bedroom · 2 beds · 1 bath,5544974,Sylvain,,Ville-Marie,45.51807,-73.55804,Entire home/apt,127,2,175,2023-08-31,2.77,1,288,43,"184380, expires: 2024-05-31"
23374143,Rental unit in Montréal · ★4.89 · 3 bedrooms · 4 beds · 1 bath,487327,Louis,,Rosemont-La Petite-Patrie,45.53378,-73.61213,Entire home/apt,254,2,235,2023-08-28,3.62,56,294,45,"297372, expires: 2024-07-31"
23375924,Townhouse in Montréal · ★5.0 · 2 bedrooms · 1 bed · 1 private bath,4863671,Marie-Pierre,,Mercier-Hochelaga-Maisonneuve,45.54808362701821,-73.5408587694861,Private room,125,2,5,2023-08-27,2.88,1,330,5,"314533, expires: 2024-07-13"
23380141,Condo in Montréal · Studio · 1 bed · 1 bath,45775618,Mehdi,,Ville-Marie,45.49623,-73.5728,Entire home/apt,75,189,2,2023-07-05,0.04,1,106,1,
23427894,Rental unit in Montréal · ★4.82 · Studio · 1 bed · 1 bath,119975235,Tara,,Verdun,45.46232,-73.57624,Entire home/apt,55,31,136,2022-04-25,2.05,2,145,0,
